,DATE,AVERAGE OPTICAL_DEPTH_047,GROUND DATA AVERAGE(ng/m^3),carbonaceous_aerosols_470(kg/m^3),average_merra2(kg/m^3)_(M2T1NXAER v5.12.4),fire_count
0,01-10-2022,0.188398268,,,3.50E-09,1
1,02-10-2022,0.242980159,,,3.61E-09,
2,03-10-2022,0.222057613,,,1.86E-09,12
3,04-10-2022,0.373551587,9039.717262,9.04E-09,2.67E-09,
4,05-10-2022,0.278813492,14072.4378,1.41E-08,2.78E-09,23
5,06-10-2022,0.320570281,1494.6875,1.49E-09,1.67E-09,1
6,07-10-2022,0.334944,1722.7375,1.72E-09,3.85E-09,1
7,08-10-2022,0.60390678,2199.530357,2.20E-09,5.89E-09,1
8,09-10-2022,0.703090909,2040.795833,2.04E-09,1.98E-09,1
9,10-10-2022,0.5451875,1827.083333,1.83E-09,1.73E-09,2
10,11-10-2022,0.340309524,3560.008333,3.56E-09,1.20E-09,
11,12-10-2022,0.35202381,7246.495833,7.25E-09,2.23E-09,11
12,13-10-2022,0.413008065,4851.001786,4.85E-09,2.26E-09,
13,14-10-2022,0.272992063,5923.95,5.92E-09,2.82E-09,25
14,15-10-2022,0.373495868,7849.351488,7.85E-09,3.65E-09,6
15,16-10-2022,0.236952381,11320.06667,1.13E-08,4.43E-09,14
16,17-10-2022,0.315547619,11773.5872,1.18E-08,5.13E-09,50
17,18-10-2022,0.419928571,9344.349107,9.34E-09,4.64E-09,2
18,19-10-2022,0.504761905,6317.434524,6.32E-09,2.98E-09,120
19,20-10-2022,0.605064,7461.716667,7.46E-09,2.53E-09,2
20,21-10-2022,0.524674603,11493.85565,1.15E-08,2.01E-09,93
21,22-10-2022,0.653274194,9497.195536,9.50E-09,4.49E-09,21
22,23-10-2022,0.483626984,8523.9,8.52E-09,4.95E-09,81
23,24-10-2022,0.555346774,11224.4125,1.12E-08,4.78E-09,302
24,25-10-2022,0.537369048,6829.499107,6.83E-09,4.16E-09,32
25,26-10-2022,0.597103175,7822.8375,7.82E-09,5.26E-09,324
26,27-10-2022,0.742713693,13859.25149,1.39E-08,6.00E-09,11
27,28-10-2022,0.548103586,17060.76488,1.71E-08,8.47E-09,461
28,29-10-2022,0.480564,16388.98333,1.64E-08,8.79E-09,129
29,30-10-2022,0.386630952,11086.01726,1.11E-08,1.09E-08,342
30,31-10-2022,0.507192,18514.11042,1.85E-08,0.000000014,446
31,01-11-2022,0.958195745,19533.27024,1.95E-08,1.16E-08,75
32,02-11-2022,1.675275362,17610.39732,1.76E-08,7.31E-09,927
33,03-11-2022,0.95218254,29416.82204,2.94E-08,7.89E-09,33
34,04-11-2022,0.633231959,24964.23423,2.50E-08,7.16E-09,755
35,05-11-2022,0.966084071,14238.7997,1.42E-08,1.40E-08,172
36,06-11-2022,,11952.11968,1.20E-08,1.04E-08,130
37,07-11-2022,0.958322709,13412.77083,1.34E-08,6.54E-09,235
38,08-11-2022,,19310.85833,1.93E-08,5.57E-09,4
39,09-11-2022,0.991196262,6449.64375,6.45E-09,5.35E-09,411
40,10-11-2022,1.43463871,7336.61756,7.34E-09,6.40E-09,22
41,11-11-2022,0.994738095,11489.8997,1.15E-08,3.60E-09,871
42,12-11-2022,0.697431535,9106.919345,9.11E-09,2.70E-09,149
43,13-11-2022,0.571952381,9554.291071,9.55E-09,5.79E-09,285
44,14-11-2022,,5866.9125,5.87E-09,6.37E-09,7
45,15-11-2022,0.415260355,9434.322917,9.43E-09,2.91E-09,15
46,16-11-2022,0.528984127,6781.921429,6.78E-09,3.39E-09,272
47,17-11-2022,0.377538153,6656.358333,6.66E-09,5.17E-09,26
48,18-11-2022,0.23384127,8111.254167,8.11E-09,4.00E-09,145
49,19-11-2022,0.414856061,7651.204167,7.65E-09,5.07E-09,14
50,20-11-2022,0.759897196,10662.42917,1.07E-08,5.17E-09,66
51,21-11-2022,0.492172131,9834.220408,9.83E-09,3.52E-09,11
52,22-11-2022,0.363392,6156.154167,6.16E-09,3.44E-09,15
53,23-11-2022,0.247513944,11746.20417,1.17E-08,3.35E-09,23
54,24-11-2022,0.152484,11224.4125,1.12E-08,3.14E-09,8
55,25-11-2022,0.248738095,18249.25,1.82E-08,5.19E-09,20
56,26-11-2022,0.239718085,20983.6372,2.10E-08,5.25E-09,10
57,27-11-2022,0.279686508,20265.68364,2.03E-08,6.79E-09,12
58,28-11-2022,0.382191837,26183.00387,2.62E-08,7.53E-09,3
59,29-11-2022,0.544965812,40504.14877,4.05E-08,1.06E-08,7
60,30-11-2022,0.603119342,22624.9747,2.26E-08,7.76E-09,2
61,01-12-2022,0.370652,25165.65,2.52E-08,7.69E-09,5
62,02-12-2022,0.434169014,19949.07917,1.99E-08,8.25E-09,5
63,03-12-2022,0.661829694,13401.21321,1.34E-08,7.94E-09,1
64,04-12-2022,0.939162698,25102.56935,2.51E-08,8.68E-09,14
65,05-12-2022,0.670417778,18861.8247,1.89E-08,6.40E-09,3
66,06-12-2022,0.629952381,18978.68601,1.90E-08,7.72E-09,14
67,07-12-2022,0.516305556,13828.54196,1.38E-08,5.61E-09,1
68,08-12-2022,0.333119835,13152.19243,1.32E-08,4.39E-09,7
69,09-12-2022,0.765777778,13425.97411,1.34E-08,4.93E-09,11
70,10-12-2022,0.787475771,30211.97381,3.02E-08,4.19E-09,
71,11-12-2022,0.618130952,16256.9622,1.63E-08,2.09E-09,13
72,12-12-2022,0.529595142,10998.97649,1.10E-08,2.03E-09,
73,13-12-2022,0.610809524,6706.320833,6.71E-09,2.07E-09,16
74,14-12-2022,0.293928571,7509.334821,7.51E-09,1.89E-09,1
75,15-12-2022,0.27391129,8614.008827,8.61E-09,2.30E-09,16
76,16-12-2022,0.320262948,10017.91667,1.00E-08,2.54E-09,21
77,17-12-2022,0.268211382,13041.57917,1.30E-08,3.63E-09,5
78,18-12-2022,0.20501992,31376.02542,3.14E-08,7.83E-09,21
79,19-12-2022,0.378495935,29078.4756,2.91E-08,1.00E-08,
80,20-12-2022,0.663865854,12428.49167,1.24E-08,7.66E-09,1
81,21-12-2022,0.641416667,16290.9875,1.63E-08,6.86E-09,
82,22-12-2022,0.339444444,18079.34107,1.81E-08,7.62E-09,7
83,23-12-2022,0.406817518,25226.73839,2.52E-08,5.09E-09,4
84,24-12-2022,,24614.09662,2.46E-08,6.38E-09,2
85,25-12-2022,,19084.92543,1.91E-08,7.84E-09,4
86,26-12-2022,0.298626016,25087.77708,2.51E-08,6.80E-09,
87,27-12-2022,0.441679487,26068.9297,2.61E-08,5.79E-09,13
88,28-12-2022,0.374190476,14110.24494,1.41E-08,4.09E-09,3
89,29-12-2022,,18608.03155,1.86E-08,4.34E-09,1
90,30-12-2022,0.560640449,19009.14781,1.90E-08,6.12E-09,
91,31-12-2022,0.238003968,10145.01042,1.01E-08,4.19E-09,
